Horizon,Index,Model,Part,Family,Window,N,Start,End,RMSE,MAE,QLIKE,N_clipped
1day,^GSPC,HistoricalVolatility,1,Benchmark,common,787,2022-12-21,2025-12-29,0.010934111636721288,0.0048301946562689935,-1.0756059504968531,0
1day,^GSPC,Persistence,1,Benchmark,common,787,2022-12-21,2025-12-29,0.010934111636721288,0.0048301946562689935,-1.0756059504968531,0
1day,^GSPC,GARCH,1,Econometric,common,787,2022-12-21,2025-12-29,0.028285344209324048,0.01974674076844373,-1.0619697513731352,0
1day,^GSPC,EGARCH,1,Econometric,common,787,2022-12-21,2025-12-29,0.03213687339100061,0.020457932216851483,-1.0616031198101008,0
1day,^GSPC,GJRGARCH,1,Econometric,common,787,2022-12-21,2025-12-29,0.03829776857868589,0.023788583278110745,-1.0566628145007582,0
1day,^GSPC,LinearRegression,1,Machine Learning,common,787,2022-12-21,2025-12-29,0.010802321885329903,0.0054981420241928085,-1.0755152348697343,0
1day,^GSPC,RandomForest,1,Machine Learning,common,787,2022-12-21,2025-12-29,0.012802528432915036,0.006910744991292548,-1.074797769064517,0
1day,^GSPC,XGBoost,1,Machine Learning,common,787,2022-12-21,2025-12-29,0.014034941239522378,0.0080556607189046,-1.0738749137751105,0
1day,^GSPC,LSTM,2,Deep Learning,common,787,2022-12-21,2025-12-29,0.0132943793238968,0.008961119057165068,-1.0734883359449896,0
1day,^GSPC,GRU,2,Deep Learning,common,787,2022-12-21,2025-12-29,0.017958548526100022,0.012285542978391415,-1.0716790114467967,0
1day,^GSPC,Transformer,2,Deep Learning,common,787,2022-12-21,2025-12-29,0.05442482344224541,0.03555453722133011,-1.0125941218967809,0
1day,^GSPC,GARCHLSTM,3,Hybrid,common,787,2022-12-21,2025-12-29,0.01144326169636872,0.007426415971984728,-1.0748772690568391,0
1day,^GSPC,GARCHGRU,3,Hybrid,common,787,2022-12-21,2025-12-29,0.022814513185526436,0.014310713092870799,-1.0684905432592864,0
1day,^GSPC,GARCHTransformer,3,Hybrid,common,787,2022-12-21,2025-12-29,0.054550490994527766,0.03473441302439591,-1.0111344424337492,0
1day,^IXIC,HistoricalVolatility,1,Benchmark,common,787,2022-12-21,2025-12-29,0.013758994465425193,0.006457634325583194,-0.7525226310381478,0
1day,^IXIC,Persistence,1,Benchmark,common,787,2022-12-21,2025-12-29,0.013758994465425193,0.006457634325583194,-0.7525226310381478,0
1day,^IXIC,GARCH,1,Econometric,common,787,2022-12-21,2025-12-29,0.03226614970900725,0.02052712318226532,-0.7451416739895357,0
1day,^IXIC,EGARCH,1,Econometric,common,787,2022-12-21,2025-12-29,0.03792936962275525,0.022259141418734148,-0.7427591213401395,0
1day,^IXIC,GJRGARCH,1,Econometric,common,787,2022-12-21,2025-12-29,0.048908554040072126,0.03254975337848151,-0.7319366587329217,0
1day,^IXIC,LinearRegression,1,Machine Learning,common,787,2022-12-21,2025-12-29,0.013657641468488786,0.007232051539007691,-0.7524645398068696,0
1day,^IXIC,RandomForest,1,Machine Learning,common,787,2022-12-21,2025-12-29,0.01655517850251924,0.009191859187261026,-0.7519856933178066,0
1day,^IXIC,XGBoost,1,Machine Learning,common,787,2022-12-21,2025-12-29,0.0208844198302168,0.01251309945202634,-0.7505081862697728,0
1day,^IXIC,LSTM,2,Deep Learning,common,787,2022-12-21,2025-12-29,0.022284312179806334,0.015524706781301606,-0.7485684197944338,0
1day,^IXIC,GRU,2,Deep Learning,common,787,2022-12-21,2025-12-29,0.020211728846250585,0.01292438726909732,-0.7503035306989608,0
1day,^IXIC,Transformer,2,Deep Learning,common,787,2022-12-21,2025-12-29,0.0735553315694538,0.04767178119647786,-0.681439717016551,0
1day,^IXIC,GARCHLSTM,3,Hybrid,common,787,2022-12-21,2025-12-29,0.01661571578124448,0.010955506021796369,-0.7513197149238815,0
1day,^IXIC,GARCHGRU,3,Hybrid,common,787,2022-12-21,2025-12-29,0.019642355680998567,0.012623018657691365,-0.7503522807078232,0
1day,^IXIC,GARCHTransformer,3,Hybrid,common,787,2022-12-21,2025-12-29,0.06416066856219886,0.04344309757609577,-0.7022611164266779,0
1day,^FTSE,HistoricalVolatility,1,Benchmark,common,787,2022-12-21,2025-12-29,0.008172077948558395,0.0037870236543998534,-1.3478297122117198,0
1day,^FTSE,Persistence,1,Benchmark,common,787,2022-12-21,2025-12-29,0.008172077948558395,0.0037870236543998534,-1.3478297122117198,0
1day,^FTSE,GARCH,1,Econometric,common,787,2022-12-21,2025-12-29,0.02713739469371159,0.0222815828846315,-1.3227667605883267,0
