Horizon,Index,Model,Date,Actual,Predicted,SquaredError,AbsoluteError,QLIKE_Loss
5day,^GSPC,HistoricalVolatility,2022-12-15,0.1998823021235845,0.1916158887408225,6.83335902147065e-05,0.008266413382761989,-0.6091219478090348
5day,^GSPC,HistoricalVolatility,2022-12-16,0.1998601119564757,0.1931736089484705,4.470932247606283e-05,0.006686503008005218,-0.6095520091057267
5day,^GSPC,HistoricalVolatility,2022-12-19,0.1998601119564757,0.1949032369538272,2.4570609791881764e-05,0.00495687500264852,-0.6098195723875866
5day,^GSPC,HistoricalVolatility,2022-12-20,0.1998549958182024,0.1938757471425199,3.575141472565096e-05,0.0059792486756825025,-0.609697181537413
5day,^GSPC,HistoricalVolatility,2022-12-21,0.1974163155576934,0.2014478887883358,1.6253582714032434e-05,0.004031573230642405,-0.622237530760086
5day,^GSPC,HistoricalVolatility,2022-12-22,0.2081009837925816,0.1998823021235845,6.754672837630917e-05,0.008218681668997113,-0.5689089694247105
5day,^GSPC,HistoricalVolatility,2022-12-23,0.1750470728290984,0.1998601119564757,0.0006156869107367574,0.024813039127377312,-0.7342896299357095
5day,^GSPC,HistoricalVolatility,2022-12-26,0.1751844198557572,0.1998601119564757,0.0006088897806494622,0.024675692100718516,-0.733602414136047
5day,^GSPC,HistoricalVolatility,2022-12-27,0.1751487050822558,0.1998549958182024,0.0006104008019291209,0.0247062907359466,-0.7337842778465012
5day,^GSPC,HistoricalVolatility,2022-12-28,0.169807665806716,0.1974163155576934,0.0007622375410721447,0.027608649750977404,-0.7622903917931858
5day,^GSPC,HistoricalVolatility,2022-12-29,0.1675282939250294,0.2081009837925816,0.0016461431630885722,0.04057268986755219,-0.7646981711031839
5day,^GSPC,HistoricalVolatility,2022-12-30,0.1863733703947793,0.1750470728290984,0.00012828501654634918,0.011326297565680904,-0.6779960579120152
5day,^GSPC,HistoricalVolatility,2023-01-02,0.1842324663333575,0.1751844198557572,8.186714506081513e-05,0.009048046477600297,-0.6902673382956925
5day,^GSPC,HistoricalVolatility,2023-01-03,0.1845024714760362,0.1751487050822558,8.749294574941579e-05,0.00935376639378041,-0.6887152091790043
5day,^GSPC,HistoricalVolatility,2023-01-04,0.1832429657101578,0.169807665806716,0.00018050728349542337,0.013435299903441805,-0.6939681687492023
5day,^GSPC,HistoricalVolatility,2023-01-05,0.1818082833983052,0.1675282939250294,0.00020391809935686766,0.0142799894732758,-0.7013637530580901
5day,^GSPC,HistoricalVolatility,2023-01-06,0.1812394460623849,0.1863733703947793,2.6357179050751302e-05,0.005133924332394402,-0.7075496974979041
5day,^GSPC,HistoricalVolatility,2023-01-09,0.1575791540793897,0.1842324663333575,0.0007103990541075103,0.026653312253967804,-0.8362290933058311
5day,^GSPC,HistoricalVolatility,2023-01-10,0.1518806823779625,0.1845024714760362,0.0010641811239592,0.0326217890980737,-0.8669019166297772
5day,^GSPC,HistoricalVolatility,2023-01-11,0.1589634836122973,0.1832429657101578,0.0005894932509403279,0.02427948209786049,-0.8294411745483967
5day,^GSPC,HistoricalVolatility,2023-01-12,0.1618435051590982,0.1818082833983052,0.0003985923701407135,0.019964778239207004,-0.8146147936685068
5day,^GSPC,HistoricalVolatility,2023-01-13,0.1664300372490772,0.1812394460623849,0.00021931858939967563,0.014809408813307695,-0.7896480566397859
5day,^GSPC,HistoricalVolatility,2023-01-16,0.1605016207604595,0.1575791540793897,8.540811501963273e-06,0.002922466681069824,-0.8292813579630947
5day,^GSPC,HistoricalVolatility,2023-01-17,0.1602906364830993,0.1518806823779625,7.072732805050706e-05,0.008409954105136785,-0.8292879390829966
5day,^GSPC,HistoricalVolatility,2023-01-18,0.1603188998698708,0.1589634836122973,1.8371532312945212e-06,0.0013554162575734885,-0.8305541771630216
5day,^GSPC,HistoricalVolatility,2023-01-19,0.1615735515488501,0.1618435051590982,7.287495168599348e-08,0.00026995361024811926,-0.822793419801163
5day,^GSPC,HistoricalVolatility,2023-01-20,0.1528945733021517,0.1664300372490772,0.00018320878425852024,0.013535463946925508,-0.8745085061936932
5day,^GSPC,HistoricalVolatility,2023-01-23,0.1541025302922362,0.1605016207604595,4.094835882050651e-05,0.006399090468223317,-0.8693205582022836
5day,^GSPC,HistoricalVolatility,2023-01-24,0.158896800513642,0.1602906364830993,1.942778709752977e-06,0.0013938359694573021,-0.839462312828774
5day,^GSPC,HistoricalVolatility,2023-01-25,0.1606454101718275,0.1603188998698708,1.0660897728386306e-07,0.0003265103019567117,-0.8285536930678534
5day,^GSPC,HistoricalVolatility,2023-01-26,0.1629531732520683,0.1615735515488501,1.9033560439906967e-06,0.0013796217032182034,-0.8142561519432907
