Horizon,Index,Model,Validation_RMSE,Validation_MAE,Validation_QLIKE,Test_RMSE,Test_MAE,Test_QLIKE
1day,^GSPC,HistoricalVolatility,0.023998190828797273,0.012393575056458234,-0.801460753412986,0.016728361823800154,0.00839878601922828,-1.0492809967619041
1day,^GSPC,Persistence,0.023998190828797273,0.012393575056458234,-0.801460753412986,0.016728361823800154,0.00839878601922828,-1.0492809967619041
1day,^GSPC,GARCH,0.041125922991104756,0.026523100033334246,-0.7894044145508845,0.028497401005142267,0.020095780778143394,-1.0386144898726024
1day,^GSPC,EGARCH,0.052318270527275,0.028338142709345367,-0.7889954320311402,0.03261152900613336,0.02103108969182075,-1.037918964638697
1day,^GSPC,GJRGARCH,0.06643516067728107,0.04129345447953856,-0.7769674107129814,0.040310582713324654,0.025398060740170442,-1.0311414910187624
1day,^GSPC,LinearRegression,0.014094807963246171,0.007443592219705393,-0.8044333107058338,0.011008472869472737,0.0056213651798605845,-1.051967505940393
1day,^GSPC,RandomForest,0.034704156157088356,0.012948495141702229,-0.8032460926860178,0.012922914196860459,0.007050860593885846,-1.0512782718208564
1day,^GSPC,XGBoost,0.03878729874405981,0.014629856512204819,-0.8024754260087803,0.014296093647179185,0.008331756719736245,-1.050336569293302
1day,^GSPC,HistoricalVolatility,0.023998190828797273,0.012393575056458234,-0.801460753412986,0.016728361823800154,0.00839878601922828,-1.0492809967619041
1day,^GSPC,Persistence,0.023998190828797273,0.012393575056458234,-0.801460753412986,0.016728361823800154,0.00839878601922828,-1.0492809967619041
1day,^GSPC,GARCH,0.041125922991104756,0.026523100033334246,-0.7894044145508845,0.028497401005142267,0.020095780778143394,-1.0386144898726024
1day,^GSPC,EGARCH,0.052318270527275,0.028338142709345367,-0.7889954320311402,0.03261152900613336,0.02103108969182075,-1.037918964638697
1day,^GSPC,GJRGARCH,0.06643516067728107,0.04129345447953856,-0.7769674107129814,0.040310582713324654,0.025398060740170442,-1.0311414910187624
1day,^GSPC,LinearRegression,0.014094807963246171,0.007443592219705393,-0.8044333107058338,0.011008472869472737,0.0056213651798605845,-1.051967505940393
1day,^GSPC,RandomForest,0.034704156157088356,0.01294849514170223,-0.8032460926860178,0.012922914196860459,0.007050860593885847,-1.0512782718208564
1day,^GSPC,XGBoost,0.03878729874405981,0.014629856512204819,-0.8024754260087803,0.014296093647179185,0.008331756719736245,-1.050336569293302
1day,^GSPC,LSTM,0.03298488028894298,0.019579222066779152,-0.7884000654177974,0.026253227694798754,0.014536354521856837,-1.0704525429745737
1day,^GSPC,GRU,0.0334859929243955,0.019606866972583865,-0.7879998758343134,0.02045509422694124,0.012986346858278548,-1.0699139865409253
1day,^GSPC,Transformer,0.10181051357552812,0.04976008280652448,-0.7475167502830264,0.04539378181647458,0.033487607533075094,-1.0432229097171253
1day,^GSPC,HistoricalVolatility,0.023998190828797273,0.012393575056458234,-0.801460753412986,0.016728361823800154,0.00839878601922828,-1.0492809967619041
