Horizon,Loss,Model,Cells,Mean_Rank,Median_Loss_Ratio_vs_Persistence,MCS_Inclusions
1day,QLIKE,HistoricalVolatility,7,1.7857142857142858,,7
1day,QLIKE,Persistence,7,1.7857142857142858,,7
1day,QLIKE,GARCH,7,10.714285714285714,,0
1day,QLIKE,EGARCH,7,10.714285714285714,,0
1day,QLIKE,GJRGARCH,7,11.571428571428571,,0
1day,QLIKE,LinearRegression,7,2.4285714285714284,,5
1day,QLIKE,RandomForest,7,4.142857142857143,,1
1day,QLIKE,XGBoost,7,6.0,,0
1day,QLIKE,LSTM,7,6.571428571428571,,0
1day,QLIKE,GRU,7,8.428571428571429,,0
1day,QLIKE,Transformer,7,13.428571428571429,,0
1day,QLIKE,GARCHLSTM,7,6.142857142857143,,0
1day,QLIKE,GARCHGRU,7,7.857142857142857,,0
1day,QLIKE,GARCHTransformer,7,13.428571428571429,,0
1day,SquaredError,HistoricalVolatility,7,2.5,1.0,7
1day,SquaredError,Persistence,7,2.5,1.0,7
1day,SquaredError,GARCH,7,10.428571428571429,7.44641949050661,1
1day,SquaredError,EGARCH,7,10.714285714285714,8.638537765184081,4
1day,SquaredError,GJRGARCH,7,11.714285714285714,12.268174188100263,0
1day,SquaredError,LinearRegression,7,1.0,0.9521943919469833,7
1day,SquaredError,RandomForest,7,4.714285714285714,1.370959074823694,3
1day,SquaredError,XGBoost,7,7.0,1.9121804349372171,2
1day,SquaredError,LSTM,7,5.857142857142857,1.4783222892125707,1
1day,SquaredError,GRU,7,8.285714285714286,2.6996455720293526,1
1day,SquaredError,Transformer,7,13.714285714285714,24.775763700023923,2
1day,SquaredError,GARCHLSTM,7,6.0,1.4583599118099133,2
1day,SquaredError,GARCHGRU,7,7.285714285714286,2.4143477586927635,1
1day,SquaredError,GARCHTransformer,7,13.285714285714286,21.745248221400768,2
1day,AbsoluteError,HistoricalVolatility,7,1.5,1.0,
1day,AbsoluteError,Persistence,7,1.5,1.0,
1day,AbsoluteError,GARCH,7,10.571428571428571,4.088187365868381,
1day,AbsoluteError,EGARCH,7,10.857142857142858,4.555149161282368,
1day,AbsoluteError,GJRGARCH,7,11.857142857142858,5.040507364984951,
1day,AbsoluteError,LinearRegression,7,3.0,1.1172883128524358,
1day,AbsoluteError,RandomForest,7,4.428571428571429,1.4307384035389314,
1day,AbsoluteError,XGBoost,7,6.285714285714286,1.9114491307247052,
1day,AbsoluteError,LSTM,7,6.0,1.926490108384652,
1day,AbsoluteError,GRU,7,8.142857142857142,2.6150310062007147,
1day,AbsoluteError,Transformer,7,13.571428571428571,7.170521363243774,
1day,AbsoluteError,GARCHLSTM,7,6.142857142857143,1.6965200365084168,
1day,AbsoluteError,GARCHGRU,7,8.0,2.6585022152648587,
1day,AbsoluteError,GARCHTransformer,7,13.142857142857142,6.727401302979902,
5day,QLIKE,HistoricalVolatility,7,3.357142857142857,,7
5day,QLIKE,Persistence,7,3.357142857142857,,7
