Analysis,Horizon,Index,Loss,Model_A,Model_B,Part_A,Family_A,Part_B,Family_B,N,Start,End,Mean_Loss_A,Mean_Loss_B,Mean_Diff,Direction,DM_Stat,Ref_Dist,HAC_Kernel,HAC_Lag,HAC_Lag_Rule,LongRun_Var,P_Raw,Correction,Test_Family,Family_Size,P_Adj,Alpha,Significant,Status
ablation,1day,^GSPC,QLIKE,GARCHLSTM,LSTM,3,Hybrid,2,Deep Learning,787,2022-12-21,2025-12-29,-1.0748772690568391,-1.0734883359449896,-0.0013889331118493923,A_lower,-2.976296764294147,t(T-1),Bartlett,21,auto_floor_h-1,0.0001713897838153311,0.0030070260695583364,holm,ablation|QLIKE|auto_floor_h-1,63,0.1470212934752085,0.05,False,tested
ablation,1day,^GSPC,QLIKE,GARCHGRU,GRU,3,Hybrid,2,Deep Learning,787,2022-12-21,2025-12-29,-1.0684905432592864,-1.0716790114467967,0.0031884681875104944,B_lower,2.3126494509414877,t(T-1),Bartlett,21,auto_floor_h-1,0.001495957629858249,0.02099936036484938,holm,ablation|QLIKE|auto_floor_h-1,63,0.8606959682288354,0.05,False,tested
ablation,1day,^GSPC,QLIKE,GARCHTransformer,Transformer,3,Hybrid,2,Deep Learning,787,2022-12-21,2025-12-29,-1.0111344424337492,-1.0125941218967809,0.0014596794630316518,B_lower,0.2773734467368951,t(T-1),Bartlett,23,auto_floor_h-1,0.021795154973126465,0.781566302887061,holm,ablation|QLIKE|auto_floor_h-1,63,1.0,0.05,False,tested
ablation,1day,^GSPC,QLIKE,GARCHLSTM,LSTM,3,Hybrid,2,Deep Learning,787,2022-12-21,2025-12-29,-1.0748772690568391,-1.0734883359449896,-0.0013889331118493923,A_lower,-2.976296764294147,t(T-1),Bartlett,21,fixed_21,0.0001713897838153311,0.0030070260695583364,holm,ablation|QLIKE|fixed_21,63,0.14734427740835848,0.05,False,tested
ablation,1day,^GSPC,QLIKE,GARCHGRU,GRU,3,Hybrid,2,Deep Learning,787,2022-12-21,2025-12-29,-1.0684905432592864,-1.0716790114467967,0.0031884681875104944,B_lower,2.3126494509414877,t(T-1),Bartlett,21,fixed_21,0.001495957629858249,0.02099936036484938,holm,ablation|QLIKE|fixed_21,63,0.8606959682288354,0.05,False,tested
ablation,1day,^GSPC,QLIKE,GARCHTransformer,Transformer,3,Hybrid,2,Deep Learning,787,2022-12-21,2025-12-29,-1.0111344424337492,-1.0125941218967809,0.0014596794630316518,B_lower,0.2754765922859728,t(T-1),Bartlett,21,fixed_21,0.02209633898219896,0.7830225101069667,holm,ablation|QLIKE|fixed_21,63,1.0,0.05,False,tested
ablation,1day,^GSPC,SquaredError,GARCHLSTM,LSTM,3,Hybrid,2,Deep Learning,787,2022-12-21,2025-12-29,0.00013094823825156847,0.00017674052160763953,-4.5792283356071054e-05,A_lower,-2.862603795848562,t(T-1),Bartlett,13,auto_floor_h-1,2.0138951017031903e-07,0.004313485443015102,holm,ablation|SquaredError|auto_floor_h-1,63,0.2458686702518608,0.05,False,tested
ablation,1day,^GSPC,SquaredError,GARCHGRU,GRU,3,Hybrid,2,Deep Learning,787,2022-12-21,2025-12-29,0.000520502011892534,0.00032250946516426676,0.00019799254672826726,B_lower,1.4510237396240218,t(T-1),Bartlett,20,auto_floor_h-1,1.4652893076240759e-05,0.147172219205195,holm,ablation|SquaredError|auto_floor_h-1,63,1.0,0.05,False,tested
ablation,1day,^GSPC,SquaredError,GARCHTransformer,Transformer,3,Hybrid,2,Deep Learning,787,2022-12-21,2025-12-29,0.002975756067744016,0.0029620614067195445,1.3694661024471984e-05,B_lower,0.07187321088405166,t(T-1),Bartlett,21,auto_floor_h-1,2.857216911465753e-05,0.9427210935113679,holm,ablation|SquaredError|auto_floor_h-1,63,1.0,0.05,False,tested
ablation,1day,^GSPC,SquaredError,GARCHLSTM,LSTM,3,Hybrid,2,Deep Learning,787,2022-12-21,2025-12-29,0.00013094823825156847,0.00017674052160763953,-4.5792283356071054e-05,A_lower,-2.9331641695604302,t(T-1),Bartlett,21,fixed_21,1.9181677673451538e-07,0.0034528121670320167,holm,ablation|SquaredError|fixed_21,63,0.19681029352082496,0.05,False,tested
