Analysis,Horizon,Index,Loss,Model_A,Model_B,Part_A,Family_A,Part_B,Family_B,N,Start,End,Mean_Loss_A,Mean_Loss_B,Mean_Diff,Direction,DM_Stat,Ref_Dist,HAC_Kernel,HAC_Lag,HAC_Lag_Rule,LongRun_Var,P_Raw,Correction,Test_Family,Family_Size,P_Adj,Alpha,Significant,Status
hybrid_vs_garch,1day,^GSPC,QLIKE,GARCHLSTM,GARCH,3,Hybrid,1,Econometric,787,2022-12-21,2025-12-29,-1.0748772690568391,-1.0619697513731352,-0.012907517683703768,A_lower,-5.76911523916918,t(T-1),Bartlett,21,auto_floor_h-1,0.003939505956577246,1.145833266876821e-08,holm,hybrid_vs_garch|QLIKE|auto_floor_h-1,63,6.302082967822516e-07,0.05,True,tested
hybrid_vs_garch,1day,^GSPC,QLIKE,GARCHGRU,GARCH,3,Hybrid,1,Econometric,787,2022-12-21,2025-12-29,-1.0684905432592864,-1.0619697513731352,-0.006520791886151068,A_lower,-2.777382501852284,t(T-1),Bartlett,22,auto_floor_h-1,0.004338144578723637,0.005610385291440167,holm,hybrid_vs_garch|QLIKE|auto_floor_h-1,63,0.17953232932608534,0.05,False,tested
hybrid_vs_garch,1day,^GSPC,QLIKE,GARCHTransformer,GARCH,3,Hybrid,1,Econometric,787,2022-12-21,2025-12-29,-1.0111344424337492,-1.0619697513731352,0.05083530893938591,B_lower,3.7985683387920393,t(T-1),Bartlett,24,auto_floor_h-1,0.14095022668990864,0.00015676180739468006,holm,hybrid_vs_garch|QLIKE|auto_floor_h-1,63,0.006427234103181883,0.05,True,tested
hybrid_vs_garch,1day,^GSPC,QLIKE,GARCHLSTM,GARCH,3,Hybrid,1,Econometric,787,2022-12-21,2025-12-29,-1.0748772690568391,-1.0619697513731352,-0.012907517683703768,A_lower,-5.76911523916918,t(T-1),Bartlett,21,fixed_21,0.003939505956577246,1.145833266876821e-08,holm,hybrid_vs_garch|QLIKE|fixed_21,63,6.302082967822516e-07,0.05,True,tested
hybrid_vs_garch,1day,^GSPC,QLIKE,GARCHGRU,GARCH,3,Hybrid,1,Econometric,787,2022-12-21,2025-12-29,-1.0684905432592864,-1.0619697513731352,-0.006520791886151068,A_lower,-2.7881650447392916,t(T-1),Bartlett,21,fixed_21,0.004304656043119848,0.005428797613583615,holm,hybrid_vs_garch|QLIKE|fixed_21,63,0.1737215236346757,0.05,False,tested
hybrid_vs_garch,1day,^GSPC,QLIKE,GARCHTransformer,GARCH,3,Hybrid,1,Econometric,787,2022-12-21,2025-12-29,-1.0111344424337492,-1.0619697513731352,0.05083530893938591,B_lower,3.868926474600148,t(T-1),Bartlett,21,fixed_21,0.13587035619429316,0.00011837297384042471,holm,hybrid_vs_garch|QLIKE|fixed_21,63,0.005090037875138263,0.05,True,tested
hybrid_vs_garch,1day,^GSPC,SquaredError,GARCHLSTM,GARCH,3,Hybrid,1,Econometric,787,2022-12-21,2025-12-29,0.00013094823825156847,0.0008000606970399063,-0.000669112458788338,A_lower,-2.393852605714751,t(T-1),Bartlett,21,auto_floor_h-1,6.148627062698664e-05,0.016905936860329304,holm,hybrid_vs_garch|SquaredError|auto_floor_h-1,63,0.6593315375528429,0.05,False,tested
hybrid_vs_garch,1day,^GSPC,SquaredError,GARCHGRU,GARCH,3,Hybrid,1,Econometric,787,2022-12-21,2025-12-29,0.000520502011892534,0.0008000606970399063,-0.0002795586851473724,A_lower,-1.2416512707904463,t(T-1),Bartlett,19,auto_floor_h-1,3.9895272517933916e-05,0.21473564471478807,holm,hybrid_vs_garch|SquaredError|auto_floor_h-1,63,1.0,0.05,False,tested
hybrid_vs_garch,1day,^GSPC,SquaredError,GARCHTransformer,GARCH,3,Hybrid,1,Econometric,787,2022-12-21,2025-12-29,0.002975756067744016,0.0008000606970399063,0.0021756953707041094,B_lower,1.941847928971199,t(T-1),Bartlett,24,auto_floor_h-1,0.000987962533862092,0.05251248771942226,holm,hybrid_vs_garch|SquaredError|auto_floor_h-1,63,1.0,0.05,False,tested
hybrid_vs_garch,1day,^GSPC,SquaredError,GARCHLSTM,GARCH,3,Hybrid,1,Econometric,787,2022-12-21,2025-12-29,0.00013094823825156847,0.0008000606970399063,-0.000669112458788338,A_lower,-2.393852605714751,t(T-1),Bartlett,21,fixed_21,6.148627062698664e-05,0.016905936860329304,holm,hybrid_vs_garch|SquaredError|fixed_21,63,0.6593315375528429,0.05,False,tested
hybrid_vs_garch,1day,^GSPC,SquaredError,GARCHGRU,GARCH,3,Hybrid,1,Econometric,787,2022-12-21,2025-12-29,0.000520502011892534,0.0008000606970399063,-0.0002795586851473724,A_lower,-1.275119306591122,t(T-1),Bartlett,21,fixed_21,3.782849539306331e-05,0.2026437887089725,holm,hybrid_vs_garch|SquaredError|fixed_21,63,1.0,0.05,False,tested
hybrid_vs_garch,1day,^GSPC,SquaredError,GARCHTransformer,GARCH,3,Hybrid,1,Econometric,787,2022-12-21,2025-12-29,0.002975756067744016,0.0008000606970399063,0.0021756953707041094,B_lower,1.9896642316065596,t(T-1),Bartlett,21,fixed_21,0.0009410470170431596,0.046974053096294106,holm,hybrid_vs_garch|SquaredError|fixed_21,63,1.0,0.05,False,tested
hybrid_vs_garch,1day,^IXIC,QLIKE,GARCHLSTM,GARCH,3,Hybrid,1,Econometric,787,2022-12-21,2025-12-29,-0.7513197149238815,-0.7451416739895358,-0.006178040934345539,A_lower,-4.492176781437047,t(T-1),Bartlett,20,auto_floor_h-1,0.0014885472262411415,8.107644517664362e-06,holm,hybrid_vs_garch|QLIKE|auto_floor_h-1,63,0.0003891669368478894,0.05,True,tested
