Analysis,Horizon,Index,Loss,Model_A,Model_B,Part_A,Family_A,Part_B,Family_B,N,Start,End,Mean_Loss_A,Mean_Loss_B,Mean_Diff,Direction,DM_Stat,Ref_Dist,HAC_Kernel,HAC_Lag,HAC_Lag_Rule,LongRun_Var,P_Raw,Correction,Test_Family,Family_Size,P_Adj,Alpha,Significant,Status
pairwise,1day,^GSPC,QLIKE,HistoricalVolatility,Persistence,1,Benchmark,1,Benchmark,787,2022-12-21,2025-12-29,-1.0756059504968531,-1.0756059504968531,0.0,equal,,t(T-1),Bartlett,,auto_floor_h-1,,,holm,pairwise|1day|^GSPC|QLIKE|auto_floor_h-1,90,,0.05,,identical_forecasts
pairwise,1day,^GSPC,QLIKE,HistoricalVolatility,GARCH,1,Benchmark,1,Econometric,787,2022-12-21,2025-12-29,-1.0756059504968531,-1.0619697513731352,-0.013636199123717873,A_lower,-6.045089459776443,t(T-1),Bartlett,21.0,auto_floor_h-1,0.004004570434677026,2.305859097858248e-09,holm,pairwise|1day|^GSPC|QLIKE|auto_floor_h-1,90,1.9830388241580934e-07,0.05,True,tested
pairwise,1day,^GSPC,QLIKE,HistoricalVolatility,EGARCH,1,Benchmark,1,Econometric,787,2022-12-21,2025-12-29,-1.0756059504968531,-1.0616031198101008,-0.014002830686752442,A_lower,-5.243866527511068,t(T-1),Bartlett,21.0,auto_floor_h-1,0.005611812467241581,2.0230929994731666e-07,holm,pairwise|1day|^GSPC|QLIKE|auto_floor_h-1,90,1.4363960296259483e-05,0.05,True,tested
pairwise,1day,^GSPC,QLIKE,HistoricalVolatility,GJRGARCH,1,Benchmark,1,Econometric,787,2022-12-21,2025-12-29,-1.0756059504968531,-1.0566628145007584,-0.01894313599609485,A_lower,-6.012256555910928,t(T-1),Bartlett,20.0,auto_floor_h-1,0.007812741903477229,2.7999026591509385e-09,holm,pairwise|1day|^GSPC|QLIKE|auto_floor_h-1,90,2.323919207095279e-07,0.05,True,tested
pairwise,1day,^GSPC,QLIKE,HistoricalVolatility,LinearRegression,1,Benchmark,1,Machine Learning,787,2022-12-21,2025-12-29,-1.0756059504968531,-1.0755152348697343,-9.071562711878511e-05,A_lower,-2.16310684908207,t(T-1),Bartlett,28.0,auto_floor_h-1,1.3841495054950619e-06,0.030833768358804265,holm,pairwise|1day|^GSPC|QLIKE|auto_floor_h-1,90,0.2333317863689736,0.05,False,tested
pairwise,1day,^GSPC,QLIKE,HistoricalVolatility,RandomForest,1,Benchmark,1,Machine Learning,787,2022-12-21,2025-12-29,-1.0756059504968531,-1.074797769064517,-0.0008081814323360936,A_lower,-4.085862014162335,t(T-1),Bartlett,8.0,auto_floor_h-1,3.0791091039217855e-05,4.842062747109162e-05,holm,pairwise|1day|^GSPC|QLIKE|auto_floor_h-1,90,0.0015978807065460234,0.05,True,tested
pairwise,1day,^GSPC,QLIKE,HistoricalVolatility,XGBoost,1,Benchmark,1,Machine Learning,787,2022-12-21,2025-12-29,-1.0756059504968531,-1.0738749137751105,-0.001731036721742625,A_lower,-5.662501313382976,t(T-1),Bartlett,8.0,auto_floor_h-1,7.354796535259161e-05,2.0919753681091813e-08,holm,pairwise|1day|^GSPC|QLIKE|auto_floor_h-1,90,1.5944368381705828e-06,0.05,True,tested
pairwise,1day,^GSPC,QLIKE,HistoricalVolatility,LSTM,1,Benchmark,2,Deep Learning,787,2022-12-21,2025-12-29,-1.0756059504968531,-1.0734883359449896,-0.002117614551863494,A_lower,-4.481145984700579,t(T-1),Bartlett,15.0,auto_floor_h-1,0.00017574799251218393,8.52720330594026e-06,holm,pairwise|1day|^GSPC|QLIKE|auto_floor_h-1,90,0.0003580461954450227,0.05,True,tested
pairwise,1day,^GSPC,QLIKE,HistoricalVolatility,GRU,1,Benchmark,2,Deep Learning,787,2022-12-21,2025-12-29,-1.0756059504968531,-1.0716790114467967,-0.003926939050056308,A_lower,-7.6702044932583,t(T-1),Bartlett,14.0,auto_floor_h-1,0.00020628572141514042,5.080390708039623e-14,holm,pairwise|1day|^GSPC|QLIKE|auto_floor_h-1,90,4.57235163723566e-12,0.05,True,tested
pairwise,1day,^GSPC,QLIKE,HistoricalVolatility,Transformer,1,Benchmark,2,Deep Learning,787,2022-12-21,2025-12-29,-1.0756059504968531,-1.0125941218967809,-0.06301182860007212,A_lower,-4.8338450269875715,t(T-1),Bartlett,25.0,auto_floor_h-1,0.13373141896098228,1.6108772330444298e-06,holm,pairwise|1day|^GSPC|QLIKE|auto_floor_h-1,90,9.928598973453429e-05,0.05,True,tested
