Horizon,Index,Model_A,Model_B,N,Max_Abs_Pred_Diff,Identical
1day,^GSPC,HistoricalVolatility,Persistence,787,0.0,True
1day,^IXIC,HistoricalVolatility,Persistence,787,0.0,True
1day,^FTSE,HistoricalVolatility,Persistence,787,0.0,True
1day,^GDAXI,HistoricalVolatility,Persistence,787,0.0,True
1day,^N225,HistoricalVolatility,Persistence,787,0.0,True
1day,^HSI,HistoricalVolatility,Persistence,787,0.0,True
1day,000001.SS,HistoricalVolatility,Persistence,787,0.0,True
5day,^GSPC,HistoricalVolatility,Persistence,787,0.0,True
5day,^IXIC,HistoricalVolatility,Persistence,787,0.0,True
5day,^FTSE,HistoricalVolatility,Persistence,787,0.0,True
5day,^GDAXI,HistoricalVolatility,Persistence,787,0.0,True
5day,^N225,HistoricalVolatility,Persistence,787,0.0,True
5day,^HSI,HistoricalVolatility,Persistence,787,0.0,True
5day,000001.SS,HistoricalVolatility,Persistence,787,0.0,True
22day,^GSPC,HistoricalVolatility,Persistence,784,0.0,True
22day,^IXIC,HistoricalVolatility,Persistence,784,0.0,True
22day,^FTSE,HistoricalVolatility,Persistence,784,0.0,True
22day,^GDAXI,HistoricalVolatility,Persistence,784,0.0,True
22day,^N225,HistoricalVolatility,Persistence,784,0.0,True
22day,^HSI,HistoricalVolatility,Persistence,784,0.0,True
22day,000001.SS,HistoricalVolatility,Persistence,784,0.0,True
