Horizon,Index,Loss,Model,N,Mean_Loss,In_MCS,MCS_PValue,Elimination_Order,Method,Alpha,Reps,Block_Size,Seed,Note
1day,^GSPC,QLIKE,HistoricalVolatility,787,-1.0756059504968531,True,1.0,13,R,0.1,10000,34,20260925,identical forecasts to Persistence; result is Persistence's
1day,^GSPC,QLIKE,Persistence,787,-1.0756059504968531,True,1.0,13,R,0.1,10000,34,20260925,
1day,^GSPC,QLIKE,GARCH,787,-1.0619697513731352,False,0.0,2,R,0.1,10000,34,20260925,
1day,^GSPC,QLIKE,EGARCH,787,-1.0616031198101008,False,0.0001,5,R,0.1,10000,34,20260925,
1day,^GSPC,QLIKE,GJRGARCH,787,-1.0566628145007584,False,0.0,3,R,0.1,10000,34,20260925,
1day,^GSPC,QLIKE,LinearRegression,787,-1.0755152348697343,False,0.0195,12,R,0.1,10000,34,20260925,
1day,^GSPC,QLIKE,RandomForest,787,-1.074797769064517,False,0.0008,9,R,0.1,10000,34,20260925,
1day,^GSPC,QLIKE,XGBoost,787,-1.0738749137751105,False,0.0001,4,R,0.1,10000,34,20260925,
1day,^GSPC,QLIKE,LSTM,787,-1.0734883359449896,False,0.0008,8,R,0.1,10000,34,20260925,
1day,^GSPC,QLIKE,GRU,787,-1.0716790114467967,False,0.0,1,R,0.1,10000,34,20260925,
1day,^GSPC,QLIKE,Transformer,787,-1.0125941218967809,False,0.0002,6,R,0.1,10000,34,20260925,
1day,^GSPC,QLIKE,GARCHLSTM,787,-1.0748772690568391,False,0.0144,11,R,0.1,10000,34,20260925,
1day,^GSPC,QLIKE,GARCHGRU,787,-1.0684905432592864,False,0.0013,10,R,0.1,10000,34,20260925,
1day,^GSPC,QLIKE,GARCHTransformer,787,-1.0111344424337492,False,0.0007,7,R,0.1,10000,34,20260925,
1day,^GSPC,SquaredError,HistoricalVolatility,787,0.00011955479728427842,True,0.587,12,R,0.1,10000,85,20260925,identical forecasts to Persistence; result is Persistence's
1day,^GSPC,SquaredError,Persistence,787,0.00011955479728427842,True,0.587,12,R,0.1,10000,85,20260925,
1day,^GSPC,SquaredError,GARCH,787,0.0008000606970399063,False,0.0793,6,R,0.1,10000,85,20260925,
1day,^GSPC,SquaredError,EGARCH,787,0.001032778631349167,True,0.1169,11,R,0.1,10000,85,20260925,
1day,^GSPC,SquaredError,GJRGARCH,787,0.0014667190781065462,False,0.0595,5,R,0.1,10000,85,20260925,
1day,^GSPC,SquaredError,LinearRegression,787,0.00011669015811427044,True,1.0,13,R,0.1,10000,85,20260925,
1day,^GSPC,SquaredError,RandomForest,787,0.0001639047342755886,False,0.0455,4,R,0.1,10000,85,20260925,
1day,^GSPC,SquaredError,XGBoost,787,0.00019697957559683337,False,0.0248,3,R,0.1,10000,85,20260925,
1day,^GSPC,SquaredError,LSTM,787,0.00017674052160763953,False,0.0017,1,R,0.1,10000,85,20260925,
1day,^GSPC,SquaredError,GRU,787,0.00032250946516426676,False,0.0227,2,R,0.1,10000,85,20260925,
1day,^GSPC,SquaredError,Transformer,787,0.0029620614067195445,True,0.1169,8,R,0.1,10000,85,20260925,
1day,^GSPC,SquaredError,GARCHLSTM,787,0.00013094823825156847,True,0.1169,9,R,0.1,10000,85,20260925,
1day,^GSPC,SquaredError,GARCHGRU,787,0.000520502011892534,False,0.0922,7,R,0.1,10000,85,20260925,
1day,^GSPC,SquaredError,GARCHTransformer,787,0.002975756067744016,True,0.1169,10,R,0.1,10000,85,20260925,
1day,^IXIC,QLIKE,HistoricalVolatility,787,-0.7525226310381478,True,1.0,13,R,0.1,10000,40,20260925,identical forecasts to Persistence; result is Persistence's
1day,^IXIC,QLIKE,Persistence,787,-0.7525226310381478,True,1.0,13,R,0.1,10000,40,20260925,
1day,^IXIC,QLIKE,GARCH,787,-0.7451416739895358,False,0.0004,3,R,0.1,10000,40,20260925,
1day,^IXIC,QLIKE,EGARCH,787,-0.7427591213401395,False,0.0052,9,R,0.1,10000,40,20260925,
1day,^IXIC,QLIKE,GJRGARCH,787,-0.7319366587329217,False,0.0,1,R,0.1,10000,40,20260925,
1day,^IXIC,QLIKE,LinearRegression,787,-0.7524645398068696,False,0.0601,12,R,0.1,10000,40,20260925,
1day,^IXIC,QLIKE,RandomForest,787,-0.7519856933178066,False,0.0062,10,R,0.1,10000,40,20260925,
1day,^IXIC,QLIKE,XGBoost,787,-0.7505081862697728,False,0.0052,8,R,0.1,10000,40,20260925,
1day,^IXIC,QLIKE,LSTM,787,-0.7485684197944338,False,0.0043,7,R,0.1,10000,40,20260925,
1day,^IXIC,QLIKE,GRU,787,-0.7503035306989608,False,0.0087,11,R,0.1,10000,40,20260925,
1day,^IXIC,QLIKE,Transformer,787,-0.681439717016551,False,0.0023,6,R,0.1,10000,40,20260925,
1day,^IXIC,QLIKE,GARCHLSTM,787,-0.7513197149238815,False,0.0004,4,R,0.1,10000,40,20260925,
1day,^IXIC,QLIKE,GARCHGRU,787,-0.7503522807078232,False,0.0002,2,R,0.1,10000,40,20260925,
1day,^IXIC,QLIKE,GARCHTransformer,787,-0.7022611164266779,False,0.0005,5,R,0.1,10000,40,20260925,
1day,^IXIC,SquaredError,HistoricalVolatility,787,0.0001893099286995912,True,0.7096,12,R,0.1,10000,40,20260925,identical forecasts to Persistence; result is Persistence's
1day,^IXIC,SquaredError,Persistence,787,0.0001893099286995912,True,0.7096,12,R,0.1,10000,40,20260925,
1day,^IXIC,SquaredError,GARCH,787,0.0010411044170440347,True,0.1004,9,R,0.1,10000,40,20260925,
1day,^IXIC,SquaredError,EGARCH,787,0.0014386370799795547,True,0.1441,10,R,0.1,10000,40,20260925,
1day,^IXIC,SquaredError,GJRGARCH,787,0.002392046658290616,False,0.0065,2,R,0.1,10000,40,20260925,
1day,^IXIC,SquaredError,LinearRegression,787,0.00018653117048177335,True,1.0,13,R,0.1,10000,40,20260925,
1day,^IXIC,SquaredError,RandomForest,787,0.0002740739352502604,True,0.1571,11,R,0.1,10000,40,20260925,
1day,^IXIC,SquaredError,XGBoost,787,0.00043615899164473293,False,0.0575,4,R,0.1,10000,40,20260925,
1day,^IXIC,SquaredError,LSTM,787,0.000496590569327038,False,0.0371,3,R,0.1,10000,40,20260925,
1day,^IXIC,SquaredError,GRU,787,0.0004085139829543365,False,0.0664,6,R,0.1,10000,40,20260925,
1day,^IXIC,SquaredError,Transformer,787,0.005410386802292245,False,0.0664,8,R,0.1,10000,40,20260925,
1day,^IXIC,SquaredError,GARCHLSTM,787,0.000276082010923077,False,0.0028,1,R,0.1,10000,40,20260925,
1day,^IXIC,SquaredError,GARCHGRU,787,0.0003858221366988333,False,0.0664,7,R,0.1,10000,40,20260925,
1day,^IXIC,SquaredError,GARCHTransformer,787,0.004116591390348294,False,0.0584,5,R,0.1,10000,40,20260925,
1day,^FTSE,QLIKE,HistoricalVolatility,787,-1.3478297122117193,True,0.7573,12,R,0.1,10000,44,20260925,identical forecasts to Persistence; result is Persistence's
1day,^FTSE,QLIKE,Persistence,787,-1.3478297122117193,True,0.7573,12,R,0.1,10000,44,20260925,
1day,^FTSE,QLIKE,GARCH,787,-1.3227667605883267,False,0.0,2,R,0.1,10000,44,20260925,
1day,^FTSE,QLIKE,EGARCH,787,-1.3311253195292125,False,0.0021,4,R,0.1,10000,44,20260925,
1day,^FTSE,QLIKE,GJRGARCH,787,-1.3247724315422282,False,0.0,1,R,0.1,10000,44,20260925,
1day,^FTSE,QLIKE,LinearRegression,787,-1.3478782165295833,True,1.0,13,R,0.1,10000,44,20260925,
1day,^FTSE,QLIKE,RandomForest,787,-1.3472740550381102,False,0.0195,11,R,0.1,10000,44,20260925,
1day,^FTSE,QLIKE,XGBoost,787,-1.3453193915708215,False,0.0005,3,R,0.1,10000,44,20260925,
1day,^FTSE,QLIKE,LSTM,787,-1.3449193016863175,False,0.006,9,R,0.1,10000,44,20260925,
1day,^FTSE,QLIKE,GRU,787,-1.3295803230669516,False,0.0021,5,R,0.1,10000,44,20260925,
1day,^FTSE,QLIKE,Transformer,787,-1.3075956382638765,False,0.0155,10,R,0.1,10000,44,20260925,
1day,^FTSE,QLIKE,GARCHLSTM,787,-1.3444785403976531,False,0.006,8,R,0.1,10000,44,20260925,
1day,^FTSE,QLIKE,GARCHGRU,787,-1.3409152452445925,False,0.0047,7,R,0.1,10000,44,20260925,
1day,^FTSE,QLIKE,GARCHTransformer,787,-1.3121121075859894,False,0.0032,6,R,0.1,10000,44,20260925,
1day,^FTSE,SquaredError,HistoricalVolatility,787,6.678285799731043e-05,True,0.2718,12,R,0.1,10000,75,20260925,identical forecasts to Persistence; result is Persistence's
1day,^FTSE,SquaredError,Persistence,787,6.678285799731043e-05,True,0.2718,12,R,0.1,10000,75,20260925,
1day,^FTSE,SquaredError,GARCH,787,0.000736438190762245,False,0.0047,1,R,0.1,10000,75,20260925,
1day,^FTSE,SquaredError,EGARCH,787,0.0005930747561502052,False,0.0524,10,R,0.1,10000,75,20260925,
1day,^FTSE,SquaredError,GJRGARCH,787,0.0010581683426915099,False,0.0194,5,R,0.1,10000,75,20260925,
1day,^FTSE,SquaredError,LinearRegression,787,5.870171885667554e-05,True,1.0,13,R,0.1,10000,75,20260925,
1day,^FTSE,SquaredError,RandomForest,787,7.51861599101607e-05,False,0.0524,9,R,0.1,10000,75,20260925,
1day,^FTSE,SquaredError,XGBoost,787,0.00012770087445164755,False,0.0124,3,R,0.1,10000,75,20260925,
1day,^FTSE,SquaredError,LSTM,787,0.00012367380078766023,False,0.0194,6,R,0.1,10000,75,20260925,
1day,^FTSE,SquaredError,GRU,787,0.0006462081652096309,False,0.0194,4,R,0.1,10000,75,20260925,
1day,^FTSE,SquaredError,Transformer,787,0.001616322059373185,False,0.0524,11,R,0.1,10000,75,20260925,
1day,^FTSE,SquaredError,GARCHLSTM,787,0.00014116861589467115,False,0.0194,7,R,0.1,10000,75,20260925,
1day,^FTSE,SquaredError,GARCHGRU,787,0.00020384594715339076,False,0.0064,2,R,0.1,10000,75,20260925,
1day,^FTSE,SquaredError,GARCHTransformer,787,0.0013215022795641722,False,0.0344,8,R,0.1,10000,75,20260925,
1day,^GDAXI,QLIKE,HistoricalVolatility,787,-1.0646739608934706,True,1.0,13,R,0.1,10000,41,20260925,identical forecasts to Persistence; result is Persistence's
1day,^GDAXI,QLIKE,Persistence,787,-1.0646739608934706,True,1.0,13,R,0.1,10000,41,20260925,
1day,^GDAXI,QLIKE,GARCH,787,-1.0457480157145056,False,0.0,6,R,0.1,10000,41,20260925,
1day,^GDAXI,QLIKE,EGARCH,787,-1.047339099168573,False,0.0,2,R,0.1,10000,41,20260925,
1day,^GDAXI,QLIKE,GJRGARCH,787,-1.044313280216683,False,0.0,1,R,0.1,10000,41,20260925,
1day,^GDAXI,QLIKE,LinearRegression,787,-1.0646041308855414,True,0.5504,12,R,0.1,10000,41,20260925,
1day,^GDAXI,QLIKE,RandomForest,787,-1.063842158572471,False,0.0,8,R,0.1,10000,41,20260925,
1day,^GDAXI,QLIKE,XGBoost,787,-1.06228350397659,False,0.0211,11,R,0.1,10000,41,20260925,
1day,^GDAXI,QLIKE,LSTM,787,-1.0635831737370285,False,0.0,5,R,0.1,10000,41,20260925,
1day,^GDAXI,QLIKE,GRU,787,-1.0617619462820014,False,0.0,4,R,0.1,10000,41,20260925,
1day,^GDAXI,QLIKE,Transformer,787,-1.020348054242792,False,0.0,7,R,0.1,10000,41,20260925,
1day,^GDAXI,QLIKE,GARCHLSTM,787,-1.061587480613038,False,0.0014,9,R,0.1,10000,41,20260925,
1day,^GDAXI,QLIKE,GARCHGRU,787,-1.0571996928697927,False,0.0023,10,R,0.1,10000,41,20260925,
1day,^GDAXI,QLIKE,GARCHTransformer,787,-1.0293448143561224,False,0.0,3,R,0.1,10000,41,20260925,
1day,^GDAXI,SquaredError,HistoricalVolatility,787,6.732597910040566e-05,True,0.4861,12,R,0.1,10000,53,20260925,identical forecasts to Persistence; result is Persistence's
1day,^GDAXI,SquaredError,Persistence,787,6.732597910040566e-05,True,0.4861,12,R,0.1,10000,53,20260925,
1day,^GDAXI,SquaredError,GARCH,787,0.0008088075322141161,False,0.0,2,R,0.1,10000,53,20260925,
1day,^GDAXI,SquaredError,EGARCH,787,0.0007793331605220629,False,0.0002,3,R,0.1,10000,53,20260925,
1day,^GDAXI,SquaredError,GJRGARCH,787,0.001335346540111544,False,0.0,1,R,0.1,10000,53,20260925,
1day,^GDAXI,SquaredError,LinearRegression,787,6.319710959518823e-05,True,1.0,13,R,0.1,10000,53,20260925,
1day,^GDAXI,SquaredError,RandomForest,787,0.00014294870925863942,True,0.1289,10,R,0.1,10000,53,20260925,
1day,^GDAXI,SquaredError,XGBoost,787,0.0005020194844041411,True,0.2138,11,R,0.1,10000,53,20260925,
1day,^GDAXI,SquaredError,LSTM,787,0.0001038009687394407,False,0.0136,7,R,0.1,10000,53,20260925,
1day,^GDAXI,SquaredError,GRU,787,0.00018175628136095037,False,0.0136,8,R,0.1,10000,53,20260925,
1day,^GDAXI,SquaredError,Transformer,787,0.0020087174630951158,False,0.0085,6,R,0.1,10000,53,20260925,
1day,^GDAXI,SquaredError,GARCHLSTM,787,0.00020935061555434048,False,0.0239,9,R,0.1,10000,53,20260925,
1day,^GDAXI,SquaredError,GARCHGRU,787,0.00028615863994561175,False,0.0002,4,R,0.1,10000,53,20260925,
1day,^GDAXI,SquaredError,GARCHTransformer,787,0.0015224450017709689,False,0.0025,5,R,0.1,10000,53,20260925,
1day,^N225,QLIKE,HistoricalVolatility,787,-0.7352554482527706,True,0.3498,12,R,0.1,10000,35,20260925,identical forecasts to Persistence; result is Persistence's
1day,^N225,QLIKE,Persistence,787,-0.7352554482527706,True,0.3498,12,R,0.1,10000,35,20260925,
1day,^N225,QLIKE,GARCH,787,-0.7214466482597207,False,0.0009,2,R,0.1,10000,35,20260925,
1day,^N225,QLIKE,EGARCH,787,-0.7143326848067686,False,0.0077,5,R,0.1,10000,35,20260925,
1day,^N225,QLIKE,GJRGARCH,787,-0.7218994697592033,False,0.0014,3,R,0.1,10000,35,20260925,
1day,^N225,QLIKE,LinearRegression,787,-0.7354771118190033,True,1.0,13,R,0.1,10000,35,20260925,
1day,^N225,QLIKE,RandomForest,787,-0.7346021323869729,False,0.0276,8,R,0.1,10000,35,20260925,
1day,^N225,QLIKE,XGBoost,787,-0.7333252397060585,False,0.0481,11,R,0.1,10000,35,20260925,
1day,^N225,QLIKE,LSTM,787,-0.7342565958926367,False,0.0103,6,R,0.1,10000,35,20260925,
1day,^N225,QLIKE,GRU,787,-0.7220491000924059,False,0.0055,4,R,0.1,10000,35,20260925,
